Navn,Årsmodell,Kilometer,Pris
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,69 500,469 476
Volkswagen Amarok Aventura 240hk TDI 4Motion/Navi/Harman/360/Matrix,2023,14 000,659 000
Volkswagen Amarok 3L V6 Highline 4x4 DSG Ekstralys Kufanger Folie EU3/25,2021,47 950,468 900
"Volkswagen Amarok high. 204 tdi aut vare Krok,kamera,parkvarmer",2019,75 000,379 900
Volkswagen Amarok 3.0TDI V6 224HK 4MOTION HIGHLINE WEBASTO APPLE CAR PLAY,2017,375 000,176 476
"Volkswagen Amarok life 205 tdi vare Parkvarmer,Hengerfeste",2023,12 000,599 000
Volkswagen Amarok aventura 240 tdi vare Hjemlevering?,2023,21 500,685 000
Volkswagen Amarok 3.0 204 TDI Highline DC 4M-perm aut Nylig Eu og Service,2018,85 200,339 000
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2019,179 000,329 000
Volkswagen Amarok 2.0 TDI 180 hk 4M Aut Ultimate Krok Web INNBYTTE/FINANS,2015,124 100,269 900
Volkswagen Amarok 3.0TDi V6 240Hk Aventura Rulletrekk Matrix ACC Navi,2023,11 500,729 000
"Volkswagen Amarok 2,0TDI-180HK-4X4-AUTO-WEBASTO-KROK-KAPELL-CRUISE-DAB ++",2015,121 000,269 900
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION,2017,247 000,241 476
Volkswagen Amarok 3.0 258 TDI Highline DC 4M-perm aut,2019,140 521,376 476
Volkswagen Amarok 150hk 4x4 Alcantara/Skinn|Krok|Navi|Dab+|Regreim bytte!,2015,169 000,219 900
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2016,216 700,236 476
"Volkswagen Amarok 3,0TDI V6 204hk/Webasto/Allterrain dekk/Cruise/Carplay",2019,198 200,269 000
Volkswagen Amarok 2.0 140 TDI Highline DC 4M-perm. 5-seter! NY Reg.reim!,2015,167 506,259 000
Volkswagen Amarok V6-3.0-TDI-204HK-AUT-HIGHLINE-4M-DAB+-LED-WEBASTO-NY EU,2018,95 446,318 999
Volkswagen Amarok 2.0 180 TDI Highline DC 4M-perm. aut,2016,178 000,241 476
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2014,174 124,285 000
"Volkswagen Amarok TILSTANDSRAPPORT, 5-SETER, 179HK AUTOMAT H.FESTE 3200KG",2013,147 500,299 900
Volkswagen Amarok 3.0 TDI V6 4Motion Aut. Webasto|Innredning|Plandeksel++,2017,126 000,314 900
"Volkswagen Amarok 3.0 258 TDI Aventura DC 4M-perm aut Plantrekk,Ekstralys",2020,137 200,449 000
"Volkswagen Amarok avent.258 tdi aut vare Kamera, Webasto, Skinn, Stigtrin",2020,104 484,479 900
Volkswagen Amarok 4MOTION HENGERFESTE KAMERA CRUISE VARMER HARDTOP,2015,163 341,150 476
Volkswagen Amarok 3.0 V6 | Aventura | Skinn | Webasto | R.Kamera | Cruise,2019,176 000,349 000
Volkswagen Amarok 3.0 TDI V6 Aventura,2023,600,820 000
"Volkswagen Amarok V6, 4motion, delskinn, dbl cabin, trafic storm, lazer",2019,188 654,389 900
Volkswagen Amarok 3.0 204 TDI Highline DC 4M-perm aut WEBASTO/KROK/KAMERA,2019,94 173,369 000
Volkswagen Amarok 3.0TDI/V6/204HK/Highline/Hengervekt-3500kg/Webasto/Dab+,2019,116 707,369 000
Volkswagen Amarok 2.0  TDI 4Motion 179hk Aut|Krok|Webasto++,2016,124 530,259 999
Volkswagen Amarok 2.0 TDi 180HK/AUTOMAT/WEBASTO/KROK/KAMERA/DAB/LAV KM.,2014,128 068,259 000
Volkswagen Amarok 3.0 258 TDI Aventura DC 4M-perm aut krok++,2019,180 000,399 900
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,69 500,469 476
Volkswagen Amarok AVENTURA 224hk V6/CRUISE/NAVI/SKINN/NAVI/KROK/PLANLOKK/,2018,267 332,279 990
Volkswagen Amarok 2.0 163hk 5-seter 4motion,2011,246 000,155 000
Volkswagen Amarok 2.0TDI- 4x4 - Hardtop - Skinn - Ekstralys,2015,133 000,239 000
Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut,2017,145 181,299 476
Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut,2018,63 800,451 476
Volkswagen Amarok AMAROK 2.0-163 D 4MOTION 5 Seter,2013,211 000,240 476
Volkswagen Amarok 3.0 258 TDI Highline DC 4M-perm aut Krok Webasto Kamera,2019,105 015,389 000
Volkswagen Amarok 3.0TDI V6 258HK 4Motion AT33|WEBASTO/RKAMERA/VINSJ/KROK,2019,64 700,599 990
Volkswagen Amarok AMAROK 2.0-163 D 4MOTION,2012,262 176,136 845
Volkswagen Amarok 3.0 258 TDI Highline DC 4M-perm aut/ krok/skinn,2019,180 000,359 476
"Volkswagen Amarok 2,0TDI 180HK/4MOTION/AUTOMAT/HIGHLINE NY EU OG REGREIM+",2015,205 500,239 000
"Volkswagen Amarok Aventura 3,0 TDI 240hk Aut 360-KAMERA / WEBASTO / NAVI",2023,30 000,659 900
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2013,143 000,113 476
Volkswagen Amarok 2.0TDi TREND 180HK D-CAB 4MOTION/1EIER/Alle Servicer/,2015,302 600,Solgt
"Volkswagen Amarok avent.258 tdi aut vare CRUISE,NAVI,KROK,ROLLOVER,LAZER",2019,142 739,379 000
Volkswagen Amarok 224HK Aventura/4Motion/Skinn/Krok/CC/DAB/Navi/Webasto,2017,91 812,399 000
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,69 500,469 476
Volkswagen Amarok 3.0 TDI Arctic Truck AT33 Aventura INNBYTTE/FINANS,2018,94 000,559 900
"Volkswagen Amarok 3,0TDI V6 258 HK | Aventura | Skinn | Automat | Webasto",2020,104 000,449 000
Volkswagen Amarok V6 TDI 4 MOTION 224HK/DELSKINN/NAVI/KAMERA/LED/KROK,2018,206 400,279 900
Volkswagen Amarok 3.0 224 TDI  Aventura  4M-perm aut,2017,116 275,341 476
"Volkswagen Amarok high. 258 tdi aut vare Bi-Xenon,ryggekamera,parkvarmer",2019,133 200,379 900
Volkswagen Amarok AUTOMAT / H.FESTE / SERVICE.H / R.KAMERA / LAV.KM,2015,127 000,249 900
Volkswagen Amarok 180 HK ULTIMATE WEBASTO NAVI R.KAM KROK NY SERIVCE & EU,2015,160 000,279 000
Volkswagen Amarok 180HK FACELIFT KINGTOP DAB XENON KUFANGER OFFROAD,2016,157 000,289 000
"Volkswagen Amarok ULTIMATE 2,0TDI 180HK 4X4 DSG /WEBASTO/KROK/NAVI/LED/++",2016,176 000,259 990
Volkswagen Amarok aventura 240 tdi vare /NAVI/360-KAMERA/WEBASTO/MATRIX/+,2023,25 000,679 900
Volkswagen Amarok high. 204 tdi aut vare H.feste/Webasto/Kamera/Hardtop,2019,153 264,325 000
"Volkswagen Amarok 2.0 180hk TDI, 4Motion, DSG, EU26",2013,181 000,229 000
Volkswagen Amarok 2.0TDi 4Motion Dobbelkabin | VELDIG VELHOLDT,2014,97 800,249 000
Volkswagen Amarok 2.0/180hk/ Alcantara/4motion/5 seter,2013,291 262,189 900
Volkswagen Amarok TDI 3.0 V6/ 4MOTION/ Skinn/AVENTURA/ CC/DAB/Krok/NY EU,2018,259 914,269 900
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2015,138 000,340 000
Volkswagen Amarok 3.0 258 TDI Highline DC 4M-perm aut Webasto|Ryggekam++,2020,100 207,399 000
Volkswagen Amarok 3.0TDI - 224HK Aventura 4MOTION CarPlay Krok Automat ++,2018,165 200,Solgt
Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut,2017,170 000,299 305
Volkswagen Amarok AUTOMAT/ NAVI/ 4x4/ H.FESTE/ NY EU/ SERVICEHISTORIKK/,2015,154 000,259 995
Volkswagen Amarok 2.0TDi 180hk DSG 4Motion Ultimate Highline Krok/Navi++,2015,144 000,269 900
"Volkswagen Amarok 3,0TDI 204HK HIGHLINE 4MOT /Dab/Kamera/Delskinn/Webasto",2019,100 211,389 000
"Volkswagen Amarok 240hk V6 TDI Aventura Webasto, Matrix, keyless, 360 +++",2023,18 000,689 900
"Volkswagen Amarok 3,0TDI V6 204HK 4X4 AUT HIGHLINE /NYSERVET/WEBASTO/KROK",2018,207 000,279 990
"Volkswagen Amarok NY TYPE/AVENTURA 240TDI TOPPUTSTYRT,OMGÅENDE LEVERING",2023,2 000,855 999
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION FJERNSTYRT WEBASTO,2018,122 000,369 000
Volkswagen Amarok 240hk V6 TDI Aventura Dig.display/Ryggekamera/Parkv.,2023,25 000,699 000
"Volkswagen Amarok 3.0TDI 204HK 4wd Auto Dc,1 eier, Lav km, Webasto ++",2018,69 400,389 000
"Volkswagen Amarok 2,0TDI-180HK-4X4-AUTO-PEN KM.STAND-WEBASTO-KROK-BEDSLID",2014,51 405,289 900
"Volkswagen Amarok V6 258 HK/LAV KM/HIGHELIN TOPP UTG/FJ-WEBASTO/R-KAMERA""",2019,42 000,479 999
"Volkswagen Amarok 3,0 TDI V6 240hk Aventura aut /H&K /Skinn /Navi++",2023,4 983,699 000
"Volkswagen Amarok Aventura 240hk v6 tdi ELrollover 20""vinter H/K  ELseter",2023,26 200,699 900
Volkswagen Amarok aventura 240 tdi vare,2023,9 950,709 000
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2016,171 000,258 476
"Volkswagen Amarok 240hk V6 TDI Aventura lav km, m/varmer og LED lys",2023,4 155,769 000
Volkswagen Amarok avent.224 tdi aut vare Aventura/Lazer/Webasto+++,2018,162 313,329 000
Volkswagen Amarok TDI 2.0(140HK)4MOTION|WEBASTO/H.F/Tectyl/NyService,2015,269 800,179 476
Volkswagen Amarok 4MOTION/TDI 2.0 (122 HK) 4MOTION | CC | H.Feste /Ny-Eu,2013,195 000,229 900
"Volkswagen Amarok Highline 3,0 TDI 258hk 4Motion aut",2020,147 000,410 476
Volkswagen Amarok 2.0 TDI 140 HK 4X4-MOTION M SPERRE-CRUISE-FRONT BØYLE+,2014,183 803,179 000
Volkswagen Amarok V6 258HK Automat/Kufanger/Ekstralys/Varsellys+++,2019,152 224,419 000
Volkswagen Amarok 2.0l 179hk/C.C/Skinn/Navi++,2015,225 000,149 990
Volkswagen Amarok AMAROK 2.0-140 D 4MOTION,2014,219 000,211 476
Volkswagen Amarok 240hk V6 TDI Aventura,2023,25 000,669 000
"Volkswagen Amarok panam. 240 tdi vare x7y Skinn,led,kamera,bøyle",2023,10 138,769 000
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2015,225 000,186 476
Volkswagen Amarok 3.0 258 TDI Highline 4M Cruise/Krok/Kam/Webasto/Navi++,2019,36 600,449 900
Volkswagen Amarok 179hk | Double Cab | 4Motion | Automat | Kamera | Navi,2012,216 270,249 900
Volkswagen Amarok comf. 204 tdi aut vare Utstyr-Garanti-Bytte,2018,148 394,329 000
"Volkswagen Amarok V6,204hk,4Motion,Hardtopp,Mudtires,Webasto,DSG,LAV KM!",2019,58 503,389 000
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,69 500,469 476
Volkswagen Amarok 3.0/224hk/V6/Aventura/4 Motion/DSG/Skinn++,2019,134 000,359 000
Volkswagen Amarok AMAROK 2.0-122 (185hk) D 4MOTION,2011,213 000,146 231
Volkswagen Amarok aventura 240 tdi vare Aventura/Webasto/Kamera/,2023,23 000,699 000
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2015,143 000,271 476
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,106 000,426 476
Volkswagen Amarok,2015,132 000,269 476
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2013,189 856,151 476
"Volkswagen Amarok 2.0 TDI 180hk Aut. 5-seter, Hardtop, Webasto, Navi, DAB",2015,151 000,429 900
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2014,256 000,230 383
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION,2014,129 500,261 476
Volkswagen Amarok Pan Americana 240TDI V6 HardTop-Matrix-HarmanKardon mm.,2023,29,799 000
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION,2017,216 000,269 995
Volkswagen Amarok 2.0 180 TDI Ultimate DC 4M-innk. Tar innbytte!!,2016,145 000,268 476
Volkswagen Amarok 2.0 180 TDI Highline DC 4M-perm. aut Ryggekamera/Parkv.,2016,183 311,Solgt
"Volkswagen Amarok 3.0 204 TDI Comfortline DC 4M-perm aut Cruise,PDC,Krok",2018,52 000,399 000
Volkswagen Amarok 240hk V6 TDI Aventura Krok/ Kamera/ Webasto/ Harman/ ++,2023,18 000,699 900
